,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
647,1,11300,       62568,       79009,HomeImp,Office,           4,           0,           3,295.33466966,           0,          19,28.600252229
648,0,11400,,       29374,HomeImp,Office,          20,           0,           0,207.93025578,           1,          15,38.955124742
649,0,11400,       75705,       90727,DebtCon,Mgr,           5,           0,           0,143.10103259,           2,          27,42.169926729
650,0,11400,       55965,       78051,DebtCon,Office,           6,           0,           0,96.292020222,           2,          14,27.173232225
651,0,11400,       59813,       72873,DebtCon,ProfExe,          13,           0,           0,234.33024049,           4,          31,39.351470851
652,0,11400,       43530,       56600,HomeImp,Other,          21,           0,           0,114.98297904,           0,          23,39.481662901
653,0,11400,       56789,       74016,HomeImp,Other,           7,           0,           0,127.62547457,           0,          16,33.027143557
654,0,11400,       51203,       60716,DebtCon,Other,           2,           0,           0,99.104082616,           0,          20,38.235312929
655,0,11400,,       27439,HomeImp,,          27,           0,           0,208.17711251,           0,           5,23.830110576
656,0,11400,       28043,       87684,HomeImp,ProfExe,          20,           1,           1,229.17795924,           0,          10,25.489994512
657,0,11400,       84278,      200480,HomeImp,Self,          14,           0,           0,4.4127700608,,           8,19.112485067
658,0,11400,       64934,       74875,DebtCon,Other,           3,           0,           0,192.31448267,           2,          16,34.343755724
659,0,11500,       56720,       82738,HomeImp,Other,          17,           0,           0,200.41695429,           0,          16,34.019837692
660,0,11500,       53151,       71645,HomeImp,Other,           7,           0,           0,135.80047603,           0,          16,35.851614414
661,0,11500,       70409,       89099,DebtCon,ProfExe,           9,           0,           0,169.40165199,           0,          11,40.174430056
662,1,11500,       21096,       38952,DebtCon,Office,          13,           0,           0,       129.7,           0,           5,
663,0,11500,      104610,      118861,DebtCon,Other,          18,           0,           1,203.70020243,           1,          16,37.596951452
664,0,11500,,       64037,HomeImp,Other,,           0,           0,354.17458076,           0,           7,34.355739238
665,0,11500,       59781,       69864,DebtCon,Other,           4,           0,           1,312.54739604,           0,           9,31.181801354
666,0,11500,       22758,       36922,DebtCon,Office,           7,           0,           1,103.04811711,           0,          16,19.020168304
667,0,11600,       82326,       94599,DebtCon,Other,           0,           4,           0,,           0,           3,29.893621477
668,0,11600,       92613,      108515,DebtCon,Other,          11,           0,           0, 206.8225881,           3,          16,39.111039466
669,0,11600,       35865,       50000,DebtCon,Other,,           0,           0,78.133333333,           0,          15,
670,1,11600,       57200,       72500,DebtCon,Other,           5,           0,           0,34.466666667,           4,          15,
671,0,11600,       96882,      118914,DebtCon,ProfExe,          13,           0,           0,176.22191092,           2,          17,34.757740199
672,0,11600,       36357,       56514,,Other,          31,           0,           0,237.81896639,           0,          19,20.181582401
673,0,11600,       73079,      101219,HomeImp,ProfExe,           7,           0,           0,  152.249875,           0,          33,34.249620743
674,0,11600,,       36474,HomeImp,Other,,,           1,93.727138031,           0,          10,37.202953562
675,0,11700,       42151,       58947,HomeImp,Other,          22,           0,           0,122.03036183,           0,          23,40.083144531
676,0,11700,       78789,       91342,DebtCon,Mgr,           5,           0,           0,128.36067425,           2,          27,41.952681795
677,0,11700,       47072,       85090,HomeImp,Other,          18,           0,           0,192.25318228,           0,          16,35.064864675
678,1,11700,       51600,       72399,HomeImp,Other,          15,           0,           1,125.36336996,           4,          20,
679,0,11700,       40266,       59097,DebtCon,Other,,           0,           0,74.998098598,           0,          15, 39.49702872
680,0,11700,,       69125,,,,,,,,,23.766832127
681,0,11700,       84863,       91737,DebtCon,Other,           0,           4,           0,,           0,           4,30.330811492
682,1,11700,       69100,       85000,DebtCon,Mgr,         3.8,           3,           0,        80.1,           0,          22,
683,1,11700,       62400,       78000,DebtCon,Office,          20,           0,           0,216.06666667,           2,          24,
684,0,11700,       37093,       62116,DebtCon,Mgr,,,,,,,37.010948765
685,0,11700,       74783,       86227,DebtCon,Mgr,           7,           0,           0,116.75680052,           0,          23,28.019227084
686,0,11700,       15163,       74500,DebtCon,ProfExe,          19,           0,           2,378.82581852,           1,          11,20.090783327
687,0,11700,       56441,       86987,HomeImp,Other,          17,           0,           0,198.03271759,           0,          16,33.931163419
688,0,11700,       78157,      103016,DebtCon,Mgr,           1,           0,           0,69.805697668,           2,          24,38.448387115
689,0,11700,       55119,       67931,DebtCon,Mgr,           4,           0,           0,199.41069924,           2,          16,27.616338511
690,0,11700,       56990,       83334,HomeImp,Other,           4,           0,           2,177.43269886,           0,          13,30.998694504
691,0,11700,      101520,      110617,DebtCon,Other,          18,           0,           2,198.54334807,           1,          16,38.721259448
692,0,11700,       96532,      107600,DebtCon,Other,          12,           0,           0,214.86981675,           2,          15,40.287411441
693,0,11800,       86785,      125552,DebtCon,Office,          11,           0,           0,148.17649241,           1,          22,37.884449327
694,0,11800,      116742,      137385,DebtCon,ProfExe,          15,,           1,170.54003506,           1,          33,30.785003591
695,0,11800,,       51246,HomeImp,Other,          11,           0,           0, 305.5667157,           2,          13,32.500059069
696,0,11800,       65012,       91614,HomeImp,Office,          26,           0,           0,171.88954687,           2,          13,42.488517052
697,0,11800,       53596,       69786,DebtCon,Mgr,           5,,,126.78778068,,          24,41.047754879
698,1,11900,       54867,       79000,HomeImp,Mgr,           1,           0,           0,       182.6,           2,          23,
699,0,11900,       44142,       54299,HomeImp,Other,          22,           0,           0,123.47114722,           0,          22,37.154902302
700,0,11900,       56443,       86913,DebtCon,Office,          12,           0,           0,119.85940967,           0,          24,38.861656969
701,0,11900,       85486,      109386,HomeImp,ProfExe,          11,           0,           1,175.54256546,           0,          28,33.670908179
702,0,11900,       97506,      110902,DebtCon,Other,          17,           0,           1,196.56812795,           2,          15, 37.99899138
703,0,11900,       61094,       74842,,Other,          12,           0,           0,250.19983439,           0,          26,29.734874071
704,0,12000,       84172,      123415,DebtCon,Office,           9,           0,           0,139.01844935,           1,          21,38.582669884
705,0,12000,       63019,       74204,DebtCon,Office,           6,           0,           0,98.591738332,           2,          14,24.490438355
706,0,12000,       41182,       59947,HomeImp,Other,          23,           0,           0,118.17993915,           0,          22,37.131064161
707,0,12000,       57371,       69076,DebtCon,Mgr,          10,           1,           0,83.251972039,           1,          19,29.632108256
708,0,12000,       38130,       68707,DebtCon,Office,          23,           0,           0,234.88798047,           1,          29,26.301236902
709,0,12000,       69796,       93757,DebtCon,Office,          16,           0,           1,91.432675908,           0,           8,24.459383678
710,1,12000,       76345,       89036,HomeImp,Other,           8,           0,           0, 91.97034976,           1,          19,50.173065029
711,0,12000,       35721,       52938,HomeImp,Other,          23,           0,           1,  125.928071,           0,          22,38.627024993
712,1,12000,       42000,       60000,DebtCon,Other,           4,           1,           2,145.53333333,           0,          23,
713,1,12000,       74427,       96270,DebtCon,Other,          18,           0,           1,169.73333333,           2,          40,
714,0,12000,       43000,       64000,DebtCon,Other,           1,           0,           0,262.96666667,           0,          21,
715,0,12000,       98000,      123385,HomeImp,ProfExe,          10,           0,           0,170.43333333,           3,          32,
716,0,12000,       29600,       61250,DebtCon,ProfExe,         7.5,           0,           0,       264.8,           1,          16,
717,0,12000,,       63000,,,           0,           0,           0,,           0,           0,
718,0,12000,       72000,      106000,DebtCon,Other,           6,           0,           0,78.066666667,           2,          14,
719,0,12000,       42482,       67800,DebtCon,ProfExe,          19,           0,           0,       199.9,           0,          16,
720,0,12000,       44000,       59500,DebtCon,Other,         3.7,           0,           0,       172.5,           0,          14,
721,1,12000,,       87000,DebtCon,Other,          13,,,,,,
722,1,12000,       75373,      102602,HomeImp,Other,           6,           2,           0,99.366666667,           0,          21,
723,1,12000,      114390,      132800,DebtCon,Mgr,          10,           0,           0,95.733333333,           0,          25,
724,1,12000,       28298,       72000,DebtCon,Other,           8,,,       105.5,           2,          22,
725,1,12000,       87917,,,Other,        12.9,           0,           1,          71,           0,          12,
726,0,12000,       76674,       97936,DebtCon,Mgr,           5,           0,           0,147.91420273,           2,          27,41.225763159
727,1,12000,       54257,       82764,,Other,          14,           1,           1,188.33742177,           2,          31,38.942759641
728,0,12000,       97650,      115931,DebtCon,ProfExe,          11,           0,           0,199.82804201,           1,          17,34.387943973
729,0,12000,       88210,      114224,DebtCon,ProfExe,           8,           0,           0,203.46897898,           1,          36,41.572971522
730,0,12000,       63589,       75959,HomeImp,Office,          14,           1,           0,253.61692796,           1,          31, 43.15970058
731,1,12000,       48189,       53969,DebtCon,Other,           5,           0,           0,276.38174269,           0,          18,65.495243152
732,0,12100,       58556,       76724,HomeImp,Other,           3,           0,           1,234.65854468,           1,          16,37.639252934
733,0,12100,       13218,       82386,DebtCon,Other,           7,           0,           0,262.39425427,           0,          14,18.430472375
734,1,12100,       29097,       72647,DebtCon,Other,           8,,,109.51487945,           1,          22,45.304760569
735,0,12100,       50100,       66410,DebtCon,Other,           3,           0,           0,176.00986434,           0,          14,28.548603692
736,0,12100,       68941,       75029,HomeImp,Office,          14,           0,           0,254.18965549,           0,          31, 43.89784955
737,0,12100,       50150,       65565,DebtCon,Other,           4,           0,           0,166.23170863,           0,          13,26.644324791
738,1,12100,       22000,       38750,DebtCon,Other,         0.8,           0,           0,       167.4,           1,          17,
739,0,12100,       12000,       33938,DebtCon,Mgr,           9,           0,           0,118.76666667,           0,          11,
740,1,12100,       67000,       79100,DebtCon,Mgr,           5,           0,           0,       155.2,           1,          32,
741,0,12100,,       72731,,,           0,           0,           0,,           0,           0,0.7202950067
742,0,12100,       83557,       98881,HomeImp,ProfExe,           6,           0,           0,102.22570446,           1,          26,25.782787088
743,0,12100,       46152,       72773,DebtCon,Other,           0,           0,           0,270.48998006,           0,          20,29.495115994
744,0,12100,       85121,      113744,DebtCon,ProfExe,           0,           0,           2,139.48533969,           0,          34,33.943437719
745,0,12100,       28193,       34705,DebtCon,Other,           0,,,,,,37.618026904
746,0,12100,       18728,       34443,DebtCon,Mgr,           9,           0,           0,117.64828293,           0,          10,21.589836378
747,0,12200,      110088,      137794,DebtCon,ProfExe,           3,           0,           0,251.15189185,           1,          46,33.517117222
748,0,12200,       57785,       72971,DebtCon,Other,           2,           0,           0,166.89946021,           1,          16,34.709643927
749,1,12200,       97000,      109800,HomeImp,ProfExe,           5,           0,           0,152.13333333,           3,          33,
750,0,12200,       91000,      114053,DebtCon,Other,          11,           0,           0,       173.5,           0,          27,
751,0,12200,       57112,       76050,DebtCon,Other,           1,           0,           0,235.22926877,           0,           9,35.113185331
752,0,12300,       61253,       85825,DebtCon,Sales,           5,           0,           0,130.02625897,           0,          34, 27.20337824
753,0,12300,       60200,       77079,HomeImp,Office,          13,           0,           0,242.24413818,           1,          32,45.394168545
754,0,12300,,       50530,HomeImp,Mgr,           5,,,163.54095996,,           9, 20.02628441
755,1,12300,       50230,       70000,DebtCon,Sales,           1,           0,,184.36666667,           2,          20,
756,1,12300,       49800,       64000,DebtCon,ProfExe,          23,           0,           2,232.33333333,           3,          17,
757,0,12300,      114457,      144284,DebtCon,ProfExe,           1,           0,           0, 252.6592531,           0,          45,32.497145096
758,0,12300,      152274,      177940,HomeImp,Office,           4,           0,           0,196.87675772,           0,          56,33.722769149
759,0,12300,       35651,       59795,HomeImp,Other,          22,           0,           0,118.65306415,           0,          23,40.662981652
760,0,12300,       92573,      119325,DebtCon,ProfExe,           2,           1,           2, 157.6206429,           0,          33,34.775102513
761,0,12400,      137927,      160566,HomeImp,ProfExe,           6,           0,           1,436.75177987,           0,          42,29.272556814
762,0,12400,      203902,      234454,HomeImp,ProfExe,           9,           0,           0,213.45544748,           0,          22, 33.64852105
763,0,12400,      115902,      146813,DebtCon,ProfExe,           1,           0,           0,288.46762658,           0,          45,33.054284333
764,1,12400,       57105,       74582,DebtCon,Other,          12,           0,           0,134.03176787,           0,          20,36.925736414
765,0,12500,       93538,      118369,DebtCon,ProfExe,           0,           0,           1,132.82371179,           0,          33,34.833864806
766,0,12500,       37562,       57081,HomeImp,Other,          22,           0,           1,129.48684395,           0,          23,39.083002442
767,0,12500,       57294,       66615,DebtCon,Other,           3,           0,           1,321.38758675,           0,           9,31.380899093
768,0,12500,       83924,      100114,HomeImp,ProfExe,           0,           0,           0,71.304197606,           1,          20,34.712768805
769,0,12500,       79900,       94660,DebtCon,Mgr,          19,           0,           0,252.34969818,          10,          24,35.800492028
770,0,12500,,       52026,HomeImp,Mgr,           6,,, 173.7172393,,           8,21.621195099
771,1,12500,       69192,      105300,DebtCon,Mgr,           4,           0,           0,282.03333333,           1,          23,
772,0,12500,       77792,      100812,DebtCon,ProfExe,          10,           2,           0, 182.9569956,           1,          29,27.385873237
773,0,12500,       66163,       83727,DebtCon,Office,           4,           1,           2,176.93524748,           3,          30,36.774639954
774,0,12500,       26286,       36002,DebtCon,Other,           2,,,,,,38.438681858
775,0,12500,       56791,       72974,HomeImp,Other,          29,           0,           3, 182.0664052,           0,          24,35.691622815
776,0,12600,       71370,       90316,HomeImp,Office,          26,           0,           0, 162.3574415,           2,          14,39.875483802
777,0,12600,       84933,      110253,DebtCon,ProfExe,           8,           0,           0,192.42260626,           1,          37,40.845077791
778,1,12600,    41169.82,       57000,DebtCon,Other,         5.5,           1,           0,98.433333333,          10,          18,
779,0,12600,       83921,       90876,DebtCon,Other,           3,           0,           0,106.93739665,           1,          32,41.473001084
780,0,12600,       45633,       77578,DebtCon,ProfExe,          19,           0,           0,209.72551959,           0,          15,23.915614881
781,0,12600,      125688,      198602,HomeImp,Office,           0,           0,           1, 344.7479335,           0,          16,39.483820073
782,0,12600,       67860,      103426,DebtCon,Other,           9,           0,           0,202.15263385,           0,          20,18.347529385
783,0,12600,       32742,       41299,DebtCon,Other,          10,,           1,170.40710644,           7,          29,37.802669594
784,0,12600,       25000,       37882,HomeImp,Other,         8.8,           0,           0,        87.2,           2,          12,
785,0,12600,       58247,       72189,HomeImp,Other,          30,           0,           3,198.24317597,           0,          23,35.794259842
786,0,12600,       83552,      107186,HomeImp,Other,          21,           0,           0,128.66024536,           4,          24,28.723017625
787,0,12700,      204038,      230920,HomeImp,ProfExe,          10,           0,           0,242.91289344,           0,          22,29.801627319
788,0,12700,       79448,       91004,DebtCon,Mgr,          20,           0,           0,227.50739015,          10,          23,34.464302149
789,0,12700,       29471,       48362,HomeImp,Other,           9,           0,           0,79.902871414,           0,           4,36.020607901
790,0,12700,       72760,       83604,DebtCon,Office,           6,           2,           3, 189.9194249,           3,          29,37.368560459
791,0,12700,       79383,      107590,DebtCon,Other,           5,           0,           0,78.299273534,           2,          14,33.581116502
792,1,12700,       30428,       47387,DebtCon,ProfExe,           2,           0,           0,164.49002127,           0,          36,38.874158603
793,0,12700,       30061,       58714,,Other,          29,           0,           0, 230.8801537,           0,          19,20.637917598
794,0,12700,       27459,       38577,HomeImp,Mgr,          16,           0,           0,72.329572042,           0,           9,31.605665455
795,0,12700,       79898,      101989,DebtCon,ProfExe,           9,           2,           0,214.99645978,           1,          29,29.306071113
796,0,12700,      105293,      121416,,Office,          14,           0,           0,250.01888053,           0,          16,35.287166428
797,0,12700,       60122,       93741,DebtCon,Other,           0,           0,           0,38.334923849,           1,           3,42.109347732
798,0,12700,       72164,      104220,DebtCon,Office,          10,           0,           0, 165.4307821,           0,          13,37.539963363
799,0,12700,       48139,       64842,DebtCon,Other,           0,           1,           0,192.47915219,           2,          13, 26.54684008
800,0,12700,        9038,       65969,HomeImp,Other,           7,           1,           1,346.58010279,           0,          22,13.347212679
801,0,12700,       59440,       88690,DebtCon,Other,           0,           0,           0,129.15261505,           3,          11,37.838273531
802,0,12700,      159661,      183244,DebtCon,ProfExe,           7,,           1,210.11522091,           4,          26,43.768191776
803,0,12800,       49349,       70078,DebtCon,Other,           9,           0,           0,240.90805914,           0,          17,31.754053954
804,0,12800,       56516,       78392,HomeImp,Other,           0,           0,           1,195.72332191,           0,          13,27.337441385
805,0,12800,      100241,      113073,DebtCon,Other,          17,           0,           1,197.27367923,           1,          15,39.467588446
806,0,12800,       73624,      103213,DebtCon,Other,          10,           0,           0,201.65084421,           0,          20,19.557272829
807,0,12800,,,,,,,,,,,24.659670477
808,0,12800,      206527,      227737,HomeImp,ProfExe,          11,           0,           0,225.20132562,           0,          22, 31.12184071
809,0,12800,       67867,       78660,DebtCon,Other,           3,,,159.80149338,,          34,30.010909605
810,0,12800,       48437,       65311,DebtCon,Other,           0,           1,           0,260.55523624,           0,          21,29.516289851
811,1,12800,       51800,       68000,HomeImp,ProfExe,           6,,,,,,
812,1,12800,      111000,      124500,DebtCon,Sales,           7,           1,           0,       203.9,           2,          40,
813,0,12800,       76783,       95007,DebtCon,Mgr,           6,           0,           0,140.97202234,           2,          26,42.153616933
814,0,12800,       11986,       48309,HomeImp,Office,          23,           0,           0, 265.2270609,           0,          20,28.493861936
815,0,12800,       71531,       87256,HomeImp,Office,          26,           0,           0, 167.1637357,           1,          14,40.376137593
816,0,12800,       77318,       97616,DebtCon,Mgr,           6,           0,           0,125.53480182,           2,          27,39.462663394
817,0,12800,       79151,      110583,DebtCon,Other,           4,           0,           0,79.371384496,           1,          13,33.586691632
818,0,12800,       29100,       39264,HomeImp,Other,           7,           0,           0,93.395002466,           2,          12,31.283061018
819,0,12800,       68729,       90127,HomeImp,Office,          23,           0,           0,163.98927891,           1,          14,39.424487787
820,1,12900,       94000,,DebtCon,Office,           8,           0,           1,205.93333333,           0,          19,
821,0,12900,       39401,       53758,HomeImp,Other,          22,           0,           0,118.64637517,           0,          23,38.689440621
822,0,12900,       58566,       74655,DebtCon,Mgr,           5,,,116.77581763,,          24,39.977051188
823,0,12900,      105638,      112608,DebtCon,Other,          17,           0,           2,208.30688217,           2,          16,39.677905811
824,1,12900,       29891,       76571,HomeImp,Other,           2,           0,           0,29.058670234,           3,          11,31.458500529
825,0,12900,       92734,      114285,HomeImp,Mgr,          11,           0,           0,236.05277279,           0,          24,28.663416808
826,0,12900,       67038,      110955,DebtCon,Office,           9,           0,           0,147.19741366,           0,          12,37.085986081
827,1,12900,       46266,       62000,DebtCon,Other,           7,           0,           0,77.133333333,           5,          18,
828,0,12900,       31498,       42695,HomeImp,Mgr,          14,           0,           0,55.021588949,           0,           9,31.992753482
829,0,12900,       88304,      122178,DebtCon,Office,          10,           0,           0,223.45485481,           0,          12,41.429958874
830,0,12900,       56957,       73181,HomeImp,Other,          29,           1,           3,179.09616602,           1,          23,36.394795447
831,0,12900,       18106,       37881,DebtCon,Mgr,           8,           0,           0,134.38410886,           0,          10,20.515961862
832,1,13000,       64499,       86000,HomeImp,Other,           1,           0,           0,       109.4,           0,          19,
833,0,13000,       80587,      110064,DebtCon,Other,           6,           0,           0,85.009196731,           1,          13,33.990039745
834,1,13000,       29461,       49326,HomeImp,ProfExe,          11,           0,           0,171.59766853,           1,           8,38.917999879
835,0,13000,       49268,       72430,DebtCon,ProfExe,          19,           0,           0,192.36447464,           0,          15,23.617104865
836,0,13000,       39386,       53149,DebtCon,Other,           4,           0,           0, 110.4779566,           1,          16,38.521759005
837,0,13000,       67395,       94355,DebtCon,Office,           8,           0,           0,214.48449255,           3,          28,40.970466815
838,0,13000,       29196,       42682,DebtCon,Other,           9,,           0,143.10806066,           6,          28, 37.29840496
839,0,13000,       96172,      112123,DebtCon,ProfExe,          14,           0,           0,181.89180444,           1,          18,36.225571567
840,1,13000,       34000,       65000,HomeImp,Other,         4.5,           0,           1,       148.5,           2,          24,
841,0,13000,        6793,       47700,DebtCon,ProfExe,           4,           0,           0,304.36666667,           0,          16,
842,0,13000,       61612,       99132,HomeImp,ProfExe,           8,           0,           0,262.73333333,           1,          12,
843,0,13000,,       25425,DebtCon,Other,          13,,,90.933333333,           2,           9,
844,1,13000,       43744,       60000,DebtCon,Self,          22,           0,           1,21.266666667,           1,          15,
845,1,13000,       94941,      120000,DebtCon,ProfExe,         0.1,           0,           0,132.86666667,           0,          21,
846,1,13000,      177000,      200000,DebtCon,Mgr,           3,           0,           2,195.83333333,           1,          50,
847,0,13000,      110094,      145807,DebtCon,ProfExe,           2,           0,           0,285.27593467,           0,          45,35.045471057
848,0,13000,       61865,       72045,DebtCon,ProfExe,           0,           0,           0,172.69668464,           2,          34,42.565582285
849,0,13000,       44875,       57713,DebtCon,Other,           0,           1,           0,184.99032439,           1,          12,28.602076071
850,0,13000,       60719,       73677,,Other,          11,           0,           0, 256.7103553,           0,          26,27.310106973
851,0,13000,       40996,       58938,DebtCon,Mgr,,,,,,,35.809612733
852,0,13100,       70878,       86743,DebtCon,ProfExe,          10,           0,           0,174.88174385,           0,          11,39.784408257
853,0,13100,,       65933,,,           0,           0,           0,,           0,           0, 3.657370718
854,0,13100,       73987,      106557,DebtCon,Office,           9,           0,           0,149.45252906,           1,          13,37.008526928
855,0,13100,       61853,       73480,,Other,          13,           0,           0,258.93715422,           0,          26,28.730851165
856,0,13100,       97287,      123281,DebtCon,Other,           9,           0,           0,162.99374391,           0,          26,34.178345675
857,0,13100,       59460,       72387,HomeImp,Other,          29,           1,           2,182.18178223,           0,          24,34.785132563
858,0,13100,       58039,       68558,HomeImp,Other,          29,           1,           2,184.88001057,           1,          23,37.347348766
859,0,13200,       70069,       88303,DebtCon,Other,           3,           0,           0, 240.8560165,           2,          25, 29.06412827
860,0,13200,       69195,       79252,DebtCon,Office,          13,           0,           0,248.78813035,           3,          37,41.905604624
861,0,13200,       22270,       38437,DebtCon,Office,           5,           0,           1,107.77338665,           0,          17,20.643199675
862,0,13200,       81654,      114333,DebtCon,Other,           5,           0,           0,97.962961658,           1,          13,33.743367654
863,0,13200,       71775,       80480,DebtCon,Other,           0,           0,           0,240.64357656,           3,          25,29.267992416
864,0,13200,       28428,       34477,DebtCon,Other,           0,,,,,,39.370262709
865,0,13200,      117985,      138969,DebtCon,ProfExe,          16,,           1,178.06475237,           0,          33,29.954230932
866,1,13300,       58000,       75000,DebtCon,Mgr,         6.6,           0,           1,       226.2,           1,          33,
867,0,13300,       76663,       96022,DebtCon,ProfExe,          10,           2,           0, 180.0294503,           1,          30,27.045006761
868,0,13300,       80059,      121790,,,,,,,,,34.561831401
869,0,13300,       61414,       72101,,Other,          12,           0,           0,260.07164985,           0,          27,27.286882027
870,1,13300,       60014,       75695,DebtCon,Sales,           1,           0,, 182.0643734,           1,          20,40.206671113
871,0,13300,       64002,       88174,DebtCon,Other,           3,,,157.91698973,,          34, 29.79823118
872,0,13300,,       72583,,,           1,           0,           0,,           0,           0,3.7204214203
873,0,13300,      153411,      182014,DebtCon,ProfExe,           7,,           0,198.39162001,           3,          25,41.987115537
874,0,13300,       44509,       72292,HomeImp,ProfExe,           3,           0,           0,208.92069357,           3,          17,37.055724552
875,0,13300,       38232,       59482,DebtCon,Mgr,,,,,,,36.027104172
876,0,13300,       85532,      115800,HomeImp,ProfExe,          11,           0,           1, 175.1914887,           0,          27,34.231393529
877,0,13300,       66174,       79957,DebtCon,Other,           2,,,175.96269497,,          34,31.563441222
878,0,13300,       79512,       92224,DebtCon,Other,           9,           0,           0,159.20708757,           4,          22, 38.94860467
879,0,13300,       55505,       76841,DebtCon,Other,           0,           0,           0,222.91307236,           0,          10,32.968632674
880,0,13300,       49491,       69028,DebtCon,ProfExe,          16,           0,           0,195.87763265,           0,          15,24.877508414
881,0,13400,       53699,       68084,DebtCon,Other,           3,           0,           0,169.85244928,           0,          14, 25.10971349
882,1,13400,      131524,      148356,DebtCon,Other,           4,           1,           0,110.74174156,           2,          29,48.340234737
883,0,13400,      102700,      121216,DebtCon,,           3,           0,           0,124.56401792,           1,          25, 34.95327869
884,0,13400,        9698,       65524,HomeImp,Other,           9,           1,           0,345.54310649,           1,          21,15.761919171
885,0,13400,       67941,       84973,DebtCon,Office,           6,           1,           3,179.97707017,           3,          30,37.428937524
886,0,13400,       51225,       69361,DebtCon,Other,           0,           0,           0,261.18963685,           0,          21,28.953067713
887,0,13400,       65662,       92050,DebtCon,Other,           2,           0,           0,20.759215295,           1,           3,42.009390078
888,0,13400,      100784,      118708,,Office,          15,           0,           0,268.10759246,           0,          16,36.158718102
889,0,13400,       69612,       87728,DebtCon,Other,           3,,,165.03026745,,          35,30.444839071
890,0,13400,       66737,       71117,DebtCon,ProfExe,           0,           0,           0,163.13185891,           2,          34,40.943866269
891,0,13400,,       33664,DebtCon,Other,          13,,,108.21700943,           2,           8,31.613929557
892,0,13400,       87175,      115530,HomeImp,ProfExe,          13,           0,           1,180.94510639,           1,          27,33.900056418
893,0,13500,       63150,       77787,,Other,          10,           0,           0,258.62150111,           0,          27,29.330142054
894,0,13500,       59352,       87767,HomeImp,Other,,           0,           0,300.57942292,           0,          19,28.118296895
895,0,13500,       40023,       67357,DebtCon,Mgr,,,,,,,38.319425851
896,0,13500,       91734,      114906,DebtCon,Other,          12,           0,           0,211.87694515,           3,          15,38.104208119
897,0,13500,      109258,      126101,DebtCon,,           2,           0,           0,130.77656998,           1,          25,33.539887477
898,1,13500,       73000,       97000,DebtCon,Other,          12,           1,           0,       145.2,           0,          23,
899,0,13500,       42000,       62800,DebtCon,ProfExe,           6,           0,           0,153.16666667,           2,          12,
900,1,13500,       83673,      109000,HomeImp,Mgr,         2.3,           0,           1,       238.4,           3,          57,
901,1,13500,       28000,       85999,DebtCon,Other,           0,           6,           4,227.26666667,           6,          37,
902,0,13500,       89184,      116848,DebtCon,ProfExe,          13,           0,           0,174.50640819,           1,          18,36.010891518
903,0,13500,       67180,       85634,DebtCon,Sales,           5,           0,           0,147.35531256,           0,          35,28.522553371
904,0,13500,       92989,      111120,DebtCon,Other,          13,           0,           0,209.46059432,           3,          15,39.521844526
905,0,13500,       48832,      144065,DebtCon,Other,           1,           0,           0,268.58679992,           4,          43,42.692396714
906,0,13500,      117321,      138746,DebtCon,ProfExe,          14,,           1,183.26200947,           0,          33,31.486796668
907,0,13600,,       35396,DebtCon,Other,          11,,,101.79352327,           1,           8, 32.66950311
908,0,13600,,       71904,,,           0,           0,           0,,           0,           0,3.2650833872
909,0,13600,       58539,       67899,HomeImp,Other,          29,           1,           2,194.27383376,           1,          23,37.134421937
910,0,13600,       18232,       75898,DebtCon,ProfExe,          19,           0,           2,399.35570145,           0,          12,21.260894854
911,0,13600,       41000,       73440,DebtCon,Mgr,           4,           0,           0,125.76666667,           1,           9,
912,1,13600,       70000,       88000,DebtCon,Mgr,          16,           0,           0,,           0,           0,
913,0,13600,       90519,      110885,DebtCon,Other,          12,           0,           0,201.83559082,           3,          16,39.666054406
914,0,13600,       12724,       52016,HomeImp,Office,          24,           0,           1,269.62871093,           0,          19, 28.17242611
915,0,13600,       81620,      101933,DebtCon,Other,           1,           0,           0,148.06729076,           0,          22,41.612898979
916,0,13600,        7627,       59173,HomeImp,Other,           7,           2,           0,362.51225026,           1,          22, 14.26712754
917,0,13700,       81378,      108628,HomeImp,ProfExe,          12,           0,           2,181.72253428,           0,          27,32.652022631
918,0,13700,       96225,      112676,HomeImp,Office,           2,           0,           0,144.53360587,           1,          22,38.781048258
919,0,13700,       84761,       95382,HomeImp,Office,,           0,           0,171.94583874,           1,          25,41.960105913
920,1,13700,       59012,       81465,DebtCon,Mgr,          12,           0,           0,167.43333333,           0,          31,
921,1,13700,       46000,       81000,DebtCon,ProfExe,         1.5,           0,           1,101.56666667,           0,          25,
922,0,13700,       95065,      123858,DebtCon,Other,           9,           0,           0,176.95253246,           0,          27,34.596837528
923,0,13700,       74015,      113766,DebtCon,Other,           7,           0,           0,75.892415281,           2,          14,36.395366326
924,0,13700,       32942,       40143,HomeImp,Other,           8,           0,           0,65.000742252,           2,          12,30.268368849
925,0,13700,       60623,       83979,HomeImp,Other,,           0,           0,308.10854035,           0,          20,29.482527873
926,0,13700,       77824,       94840,DebtCon,Other,           6,           0,           0,195.04218544,           3,          19,43.335346713
927,0,13700,       88654,      114011,HomeImp,Mgr,          10,           0,           0,250.32958449,           0,          25,30.971730126
928,0,13800,       73688,       94071,DebtCon,Office,           9,           0,           0,221.22314273,           2,          28,41.482142965
